SPL0
S
    419.40    210.84    460.00
    422.35    215.11    458.59
    422.46    215.39    458.47
    423.26    216.37    458.12
    423.67    216.83    457.96
    424.59    218.46    457.24
    424.72    219.98    456.37
    423.86    221.37    455.34
    423.60    221.52    455.20
    421.51    223.27    453.63
    417.01    224.90    451.60
    416.92    224.93    451.55
    410.82    226.40    449.23
    410.08    226.53    448.98
    405.35    227.36    447.36
    403.50    227.70    446.69
    396.81    228.69    444.45
    395.53    228.88    444.01
    393.32    229.16    443.29
    387.35    229.96    441.27
    384.43    230.32    440.29
    381.11    230.71    439.16
    379.19    230.96    438.49
    372.38    231.80    436.09
    371.44    231.91    435.76
    368.87    232.23    434.83
    358.43    233.62    430.87
    351.91    234.55    428.27
    346.72    235.27    426.16
    344.25    235.63    425.14
    336.70    236.82    421.85
    327.87    238.27    417.84
    327.51    238.33    417.67
    320.27    239.52    414.28
    319.02    239.74    413.67
    311.37    241.14    409.86
    303.88    242.54    406.00
    296.93    243.81    402.36
    296.54    243.88    402.15
    286.83    245.80    396.79
    280.66    247.04    393.28
    277.00    247.75    391.20
    274.05    248.32    389.50
    267.53    249.70    385.58
    258.25    251.73    379.81
    258.14    251.75    379.75
    251.74    253.11    375.72
    248.89    253.77    373.85
    239.99    255.90    367.82
    236.35    256.80    365.27
    231.05    258.06    361.60
    230.27    258.25    361.05
    222.63    260.30    355.35
    220.37    260.92    353.63
    218.10    261.53    351.90
    215.80    262.11    350.20
    215.03    262.28    349.66
    213.41    262.60    348.57
    208.34    263.30    345.54
    202.96    263.50    343.01
    200.72    263.25    342.35
    198.01    262.83    341.67
    193.96    262.45    340.27
    189.72    261.46    339.40
    174.80    256.22    336.98
    173.82    255.84    336.80
    170.47    254.27    336.34
    165.16    251.34    335.76
    163.63    250.53    335.53
    161.70    249.37    335.30
    156.33    245.66    334.81
    154.17    244.17    334.53
    153.54    243.70    334.46
    148.34    239.25    334.07
    146.09    237.31    333.81
    145.75    236.99    333.78
    141.21    232.21    333.49
    129.77    216.51    332.74
    128.65    214.56    332.66
    121.77    199.17    332.31
    117.60    185.79    332.09
